"File","SZS","ExitCode","Seconds"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT028^2.p","Theorem","0","0.27"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT028^1.p","Theorem","0","0.3"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT035^1.p","Theorem","0","0.34"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT036^1.p","Theorem","0","0.36"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT037^1.p","Theorem","0","0.36"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT037^2.p","Theorem","0","2.82"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT027^2.p","Timeout","0","10.21"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT039^1.p","Theorem","0","5.48"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT038^1.p","Theorem","0","5.47"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT029^1.p","Timeout","0","10.23"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT041^1.p","Theorem","0","5.5"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT027^1.p","Timeout","0","10.25"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT030^1.p","Timeout","0","10.24"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG247^2.p","GaveUp","0","5.41"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT031^2.p","Timeout","0","10.3"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG001^5.p","Theorem","0","5.54"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG248^3.p","Theorem","0","5.25"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT040^1.p","Theorem","0","5.6"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG249^3.p","Theorem","0","5.1"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT032^2.p","Timeout","0","10.31"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG250^3.p","Theorem","0","0.17"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT031^1.p","Timeout","0","10.38"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG020^7.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT032^1.p","Timeout","0","10.39"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT033^2.p","Timeout","0","10.33"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG251^2.p","Theorem","0","0.19"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT034^2.p","Timeout","0","10.3"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT034^1.p","Timeout","0","10.35"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT035^2.p","Timeout","0","10.32"
"C:\TPTP\TPTP-v9.3.1\Problems\AGT\AGT033^1.p","Timeout","0","10.39"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG254^1.p","Theorem","0","0.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG254^2.p","Theorem","0","0.14"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG023^7.p","Timeout","0","10.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG255^1.p","Theorem","0","0.15"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG256^1.p","Theorem","0","0.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG256^2.p","Theorem","0","0.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG257^2.p","Theorem","0","0.16"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG257^1.p","Theorem","0","0.19"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG259^1.p","Theorem","0","0.18"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG248^2.p","Timeout","0","10.09"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG259^2.p","Theorem","0","0.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG260^1.p","Theorem","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG260^2.p","Theorem","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG248^1.p","Timeout","0","10.17"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG261^1.p","Theorem","0","0.22"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG261^2.p","Theorem","0","0.2"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG017^7.p","Timeout","0","10.4"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG262^2.p","GaveUp","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG021^7.p","Timeout","0","10.39"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG263^1.p","Theorem","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG014^7.p","Timeout","0","10.5"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG263^3.p","Theorem","0","0.21"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG016^7.p","Timeout","0","10.45"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG018^7.p","Timeout","0","10.41"
"C:\TPTP\TPTP-v9.3.1\Problems\ALG\ALG022^7.p","Timeout","0","10.41"
