id,params,result,time_s
1,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=2",unsat,8.19238
2,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=3",unsat,8.12443
3,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=4",unsat,8.43664
4,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=5",unsat,8.27591
5,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=6",unsat,7.8374
6,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=2",unsat,8.17258
7,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=3",unsat,8.26749
8,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=4",unsat,8.38708
9,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=5",unsat,8.0977
10,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=6",unsat,7.87418
11,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=2",unsat,8.11799
12,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=3",unsat,8.49949
13,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=4",unsat,8.58013
14,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=5",unsat,8.7678
15,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=6",unsat,8.11814
16,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=2",unsat,8.2833
17,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=3",unsat,5.84031
18,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=4",unsat,8.09692
19,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=5",unsat,7.94668
20,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=6",unsat,8.61155
21,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=2",unsat,8.13412
22,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=3",unsat,8.22702
23,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=4",unsat,8.60544
24,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=5",unsat,7.99143
25,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=6",unsat,5.89171
26,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=2",unsat,7.862
27,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=3",unsat,8.47863
28,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=4",unsat,7.85855
29,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=5",unsat,8.75034
30,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=0,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=6",unsat,7.98163
31,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=2",unsat,7.88828
32,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=3",unsat,8.44174
33,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=4",unsat,8.00301
34,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=5",unsat,8.47255
35,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=6",unsat,8.35315
36,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=2",unsat,8.70351
37,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=3",unsat,8.43308
38,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=4",unsat,8.35651
39,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=5",unsat,6.14259
40,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=6",unsat,8.42951
